food_name, category1, category2,ingredients,contents
뚝배기해물떡볶이,밥/죽/떡,볶음,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,"1. 모든 야채는 깨끗히 씻어서 손질해주세요.당근은 네모나게 잘라주시구요~ 파는 어슷썰기, 양파는 채를 쳐주세요~양배추는 듬성듬성 크게 잘라주세요.
2. 위의 양념장 분량대로 양념장을 만들어 주세요~저는 여기에다가 약간 멸치장국을 1/2T정도 넣었더니 좋더라구요~있으신 분들은 한번 넣어보세요~
3. 끓는물에 소금을 약간 넣고 해물을 살짝만 데쳐주세요~
4. 떡볶이떡도 끓는물에 살짝 삶은 다음에 참기름1/2t를 넣어 살짝 묻혀주세요~
5. 팬에 기름을 조금만 두르고 당근과 양파를 볶아주세요~
6. 그 다음 양배추를 넣고 잘 볶아주세요~
7. 여기에다가 양념장과 물 1/3C을 넣고 잘 볶아줍니다.물대신 해물을 삶았던 물을 넣어도 좋아요~
8. 양념장을 어느정도 볶음다음에 어묵과 떡, 그리고 해물을 넣고 잘 볶아줍니다~이때 국물이 자작한 떡볶이를 만들고 싶으면 물1/2C을 더 넣어주시면 되요~
9. 다 볶았으면 마무리로 파를 넣고 두번정도 잘 볶아주세요~"
스팸샌드위치,빵,기타,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,"1. 조금 작은 토마토를 준비했어요~토마토는 슬라이스를 해주고 상추는 깨끗히 씻어서 준비해줬어요~상추대신 양상추를 사용해도 상관 없어요~
2. 다진 양파 1T에 홀그레인머스터드, 허니머스터드 각각1T 씩 섞어서 소스를 만들어 줍니다.홀그레인머스터드는 겨자씨가 그대로 들어있는 머스터드 인데요~없으시면 그냥 허니머스터드2T를 사용하시면 되요~
3. 샌드위치용으로 나온 두툼한 식빵은 오븐이나 후라이팬에 살짝만 구워주세요~
4. 달군 후라이팬에 스팸싱글을 구워주세요~중간불에서 안까지 골고루 익혀주세요~
5. 이제 구운 식빵 한쪽에 머스터드소스를 발라주세요~
6. 그 다음 상추를 올리고요~
7. 그 위에 잘 구운 스팸싱글을 올려주세요~
8. 치즈도 올려주시고요~스팸싱글이 따뜻할때 올려줘야지 치즈가 녹아서 더 맛있겠죠?
9. 그 위에 슬라이스한 토마토도 올리고요~
10. 그 다음 다시 식빵 한쪽에 남은 소스를 발라주신 다음샌드위치에 덮어주세요~먹기 좋은 크기로 잘라서 흐트러지지 않도록 이쑤시개를 꽂아서 마무리 해주시면 맛있는 스팸샌드위치완성."
참치깻잎주먹밥,밥/죽/떡,기타,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,"1. 깻잎은 한장한장 깨끗이 씻어서 포갠 후에 한번 채 썰어주신 다음에 잘게 다져주세요~
2. 당근도 깻잎처럼 잘게 다져주세요~
3. 참치는 일단 캔을 딴 다음에 이 상태에서 캔뚜껑을 꾹 눌러서 기름을 살짝 기름을 빼주세요~
4. 그 다음 끓는물에 참치를 넣어서 살짝 데쳐주신 다음에 물기를 빼주세요~그럼 참치에 있는 기름기가 싸-악- 제거 되요~
5. 그 다음 참치 비린내를 제거해주기 위해 기름을 두르지 않은 팬에 다진마늘 조금과 참치를 넣고 살짝 볶아주세요~
6. 넓은 볼에 다진 깻잎과 당근, 참치, 잘게 잘라놓은 김을 넣고 깨소금을 넣은 다음에 잘 섞어주세요~이때 참기름을 넣어도 되고요 안 넣어도 상관없어요~그리고 약간의 소금간도 해주세요~
7. 요렇게 동글동글 이쁘게 모양을 잡아주세요~"
새우볶음밥고로케,빵,튀김,[재료] 새우 10마리| 밥 2공기| 김치 1/4포기| 당근 1/2개| 감자 1/2개| 양파 1/2개| 빵가루| 달걀| 밀가루,"1. 새우는 꼬리만 남겨두고 깨끗히 손질해주세요~ 이쑤시개를 이용해서 내장도 제거해 주시구요~ 튀겨줄 거니깐 새우꼬리를 벌려보아서 뾰족하게 나온 물주머니도 제거해주시구요~
2. 당근, 양파, 감자, 김치는 모두 송송송 다져서 준비해주세요~저는 애호박을 안 좋아해서 넣지 않았는데~애호박이나 푸른야채를 넣어주시면 색깔 배합이 더 잘 맞겠죠??냉장고를 뒤져서 남은 야채를 모두 송송송 다져서 넣어보세요~
3. 새우는 꼬리부분을 약간 남기고 작게 잘라주세요~남은 꼬리부분은 새우 볶음밥과 함께 뭉쳐서 튀겨줄거예요~
4. 후라이팬에 기름을 살짝 두르고 감자를 먼저 볶아주세요그 다음 양파,당근,김치를 넣고 볶아주신 다음새우를 넣고 이때 소금약간, 후추도 약간 넣어서 간을 맞춰주시고~마지막으로 밥을 넣고 볶아줍니다~볶음밥은 센 불에서 빨리빨리 볶아내주셔야지 맛있어요~
5. 그럼~ 요렇게 맛있는 새우볶음밥이 완성되요~이대로 도시락을 싸가도 좋아요~하지만 소풍을 갈때는 좀 더 특별하게~
6. 이제 만두소를 넣는 것처럼 볶음밥을 둥글게 쥐어주신 다음에 가운데를 움푹하게 해서 잘라놓은 새우꼬리를 넣고 사진처럼 동글동글하게 만들어주세요~주의하셔야 할점은 꼭 꾹꾹 눌러가면서 모양을 만들어주세요~그렇치 않으면 계란물을 묻힐때 다 흩어져 버려요~
7. 그 다음 밀가루->계란물->빵가루를 입혀주세요~
8. 그 다음에 기름에 퐁당~ 노릇노릇 튀겨줍니다~
9. 많은양을 쓰시지 마시고 돌돌 굴려가면서 튀겨주세요~
10. 그 다음 키친타올에 올려서 불필요한 기름을 제거해주세요~"
스팸쌈밥,밥/죽/떡,기타,[재료] 밥 2공기| 상추(작은걸로골라서)나그외쌈야채| 스팸| 밑반찬 [양념] 참기름 1/2t| 맛소금 약간 | 깨 약간 ,"1. 상추는 깨끗이 씻어서 준비해주세요~그리고 너무 크면 모양이 안 이쁘니 딱 손바닥 크기정도인 상추를 골라주세요~상추말고도 깻잎이나 그외 쌈야채를 다양하게 이용해줘도 좋겠죠?
2. 밥에 참기름1/2t, 맛소금으로 간을 해주시고 잘 섞어주세요~그리고 잠시만 김을 날려주세요~
3. 밥을 식히는 동안 맛있는 스팸을 구워보도록 해요~저는 도시락통에 맞춰서 썰었어요~저는 쌈밥이랑 스팸을 따로 놓으려고 해서 좀 크게 썰었는데~밥이랑 같이 쌈을 싸고 싶은 분들은 좀 작게 썰어주시면 되겠죠?아니면 아이들 도시락이면 잘게 다져서 밥 속에 넣어도 좋아요~
4. 그리고 맛있게 간을 해둔 밥을 동글동글 둥글게~크기는 골프공보다 조금 작게 해주시면 되요~
5. 자~ 이제 동글동글한 밥을 상추위에 올리고 차곡차곡 이쁘게 도시락 통에 넣어줍니다~
6. 요렇게~ 이쁘게 통에 차곡차곡 놓으시면 되요~하지만 좀 허전하죠~이럴때는 깨의 마술을 부려봅니다~
7. 그 다음에 반찬 통에 맛있게 구운 스팸과 김치를 함께 놔주면~맛있는 꼬마스팸쌈밥 완성~"
베이컨김치말이밥,밥/죽/떡,기타,[재료] 밥 1공기| 김치 1/6포기| 베이컨 적당량 | 깻잎 5장| 양파 1/4개,"1. 깻잎, 양파, 김치 모두 잘게 다져주세요~특히 김치를 다지실때는 안에 들어있는 김치속을 좀 털어주신 다음에 다져주세요~
2. 팬에 기름을 두르지 말고 아주 살짝만 양파를 볶아주세요~
3. 김치도 양파 볶은 팬에 기름을 두르지 말고 김치 물기만 날려줄 정도로 볶아주세요~김치를 볶기 귀찮은 분들은 그냥 꼭 쫘서 사용하셔도 되요~
4. 밥 1공기에 참기름1T, 소금으로 간을 해주신 다음에볶은 김치와 양파를 넣고 깻잎 넣어서 조물조물 해주세요~
5. 먼저 밥을 동그랗게 만드신 다음에 베이컨을 두르고 양쪽을 톡톡 안으로 넣어주시면 사진처럼 모양이 완성되요~베이컨이 풀리지 않도록 이쑤시개를 꽂아줬는데~실파나 미나리 같은게 있으시면 묶어 주셔도 되요~
6. 팬에 기름을 두르지 말고 돌려가면서 노릇노릇 구워주신 후 키친타올에 올려서 기름을 살짝 제거해주세요~"
스팸오이식빵롤,빵,굽기,[재료] 식빵 4장| 스팸 1/3캔| 오이 1개| 체다치즈(노란치즈) [양념] 머스터드| 피클| 마요네즈,"1. 오이는 어슷썰기나 돌려깎기를 해서 채썰어주세요~어슷썰기하신 다음에 채썰어주시는 분들은 가운데 씨가 많은 부분들은 과감히 빼주세요~
2. 스팸은 조금 두껍게 썰어주세요~
3. 그런 다음 후라이팬에 노릇노릇 맛있게 구워줍니다~노릇노릇~ 지글지글~
4. 머스터드2T, 마요네즈3T, 작은피클1개를 곱게 다진다음 잘 섞어주세요~
5. 맛있게 구운 스팸을 좀 식은 다음에 사진처럼 채 썰어주세요~안 식을때 막 썰어 버리면 부서지더라구요~살살 썰어주세요~
6. 식빵은 겉에 부분을 잘라주세요~잘라낸 부분은 버터랑 다진마늘 섞어서 발라주신 다음 오븐에 구워도 맛있어요~
7. 그 다음에 밀대로 식빵을 얇게 밀어주세요~얇게 밀어주셔야 해요~
8. 그 다음 머스터드 소스를 식빵에 반 정도만 얇게 발라주세요~
9. 그 다음 스팸과 오이를 적당히 올려주세요~너무 많이 올려도 잘 안 말리고~ 너무 적게 올리면 잘랐을때 모양이 안 이뻐요~스팸이랑 오이 말고도 양상추나 치즈등 다양하게 올려주세요~
10. 돌돌 말아준 다음 랩으로 싸주세요~그러면 쉽게 풀리지도 않고 먹기도 편해요~이 상태에서 반으로 잘라주세요~"
고구마치즈스틱,디저트,튀김,[재료] 고구마 큰거 2개| 모차렐라치즈(피자치즈) 1/2개| 버터 1T| 밀가루| 빵가루| 달걀 1개,"1. 고구마를 깨끗히 씻어서 준비해주세요~
2. 고구마를 물에 많이 담구지 말고 쪄준 다음뜨거울 때 버터1T를 넣어주세요~
3. 그 다음에 골고루 섞으면서 으깨주세요~
4. 그 다음 모짜렐라(피자치즈)를 손가락만하게 잘라주세요~
5. 그 다음 고구마를 만두피처럼 만든 다음에 모짜렐라 치즈를 넣고 동그랗게 감싸주세요~
6. 그럼 요렇게 두툼한 고구마치즈스틱이 되요~고구마 두께에 따라서 크기는 달라질수 있겠죠?
7. 그 다음 밀가루->달걀물->빵가루 순으로 입혀주세요~빵가루에 파슬리나 기타 말린허브를 넣으면 모양도 보기 좋고 향도 좋아요~
8. 그 다음에 기름에 튀겨주세요~겉이 노릇노릇 해지면 바로 꺼내주셔도 되요~다 익은 거라서 치즈가 살짝 녹을 정도만 튀겨주시면 되요~
9. 그 다음 키친타올에 올려서 기름을 쪼옥- 빼주면 완성~"
오징어볶음우동,면/만두,볶음,[재료] 오징어 1마리| 양파 1/4개| 대파 1/2쪽| 당근 1/3개| 청고추 1개| 홍고추 1개 [양념] 고추장 1T| 고춧가루 1T| 다진 마늘 1T| 참기름 1T| 설탕 1t| 간장 1t| 청주 1t| 후추 약간| 소금 약간,"1. 양파는 굵게 채썰어주시고당근도 네모나게 잘라주세요~대파랑 청홍고추는 어슷하게 썰어서 준비해주세요~
2. 오징어는 내장을 깨끗히 제거해 주신 다음에 키친타올을 이용해 오징어 겉에 껍질을 제거해주세요~키친타올을 이용하면 쉽게 제거된답니다~다리는 3등분해주시구요~몸통은 안쪽에 칼집을 넣은 다음에 먹기 좋게 잘라주세요~
3. 위의 레시피 대로 (고추장1T, 고춧가루1T, 다진마늘1T, 참기름1T, 설탕1t, 간장1t, 청주1t, 후추,소금약간)양념장을 만든 후에 썰어놓은 오징어를 넣고 잠깐 동안 재어주세요~
4. 오징어를 재우는 동안 오통통한 우동사리를 끓는 물에 살짝 데쳐주세요~
5. 달군 후라이팬에 기름을 두르고 센불에 오징어를 볶아주세요~
6. 오징어를 살짝 볶은 다음에 썰어놓은 야채를 넣고 센불에 달달 볶아주세요~
7. 야채랑 오징어가 다 익었으면 데쳐놓은 우동사리를 넣고 한번 볶아주시면 되요~
8. 그릇에 이쁘게 담고 청,홍고추로 장식해주면 완성."
호두가래떡구이,디저트,굽기,[재료] 가래떡 1개| 호두 15알 정도 [양념] 깨 3T| 꿀 5T,"1. 먼저 호두는 따뜻한 물에 담가서 껍질을 살짝 불려주세요.
2. 저렇게 불린 호두를 이쑤시개를 이용해 껍질을 제거해주세요.
3. 그럼 요렇게 호두가 뽀얀 속살을 드러냅니다. 그 다음 잘게 다져주세요.
4. 깨는 깨갈이를 이용해서 갈아주시는데요. 저처럼 깨갈이가 없으면 키친타올에 깨를 올려놓은 후에 칼 등으로 다져주시면 되요. 그러면 깨가 사방으로 튀지 않고 깔끔하게 다져집니다.
5. 다진 호두와 깨를 넣고 꿀을 넣어서 잘 섞어주세요. 꿀 말고도 조청이나 물엿을 이용해도 좋아요.
6. 이제 가래떡 굽기! 사진처럼 길게 구워주셔도 되구요.
7. 저처럼 작게 잘라주신 다음 구워도 되요. 그릴에 노릇노릇 구워줬어요. 후라이팬이나 오븐을 이용해서 구워도 되요. 쫄깃쫄깃 맛있게 구워졌어요.
8. 맛있게 구워진 가래떡에 호두와 꿀을 섞은 소스를 알맞게 뿌려주면~ 맛있고 고소한 호두가래떡구이 완성."
